food_item,calories,protein,carbs,fats,saturated_fat,fiber,category
Cola drinks,137.0,0.0,38.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Fruit-flavored soda,161.0,0.0,42.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Ginger ale,105.0,0.0,28.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Root beer,140.0,0.0,35.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Coffee,3.0,0.0,1.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Tea,4.0,0.0,1.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages",
Roti (2 pcs),240,6,36,2,0.2,4,Veg
Plain Rice (1 bowl),200,4,44,0.5,0.1,1,Veg
Dal Tadka (1 bowl),260,12,30,8,2,6,Veg
Paneer Bhurji (150g),300,18,6,22,12,0,Veg
Chicken Curry (Home Style),280,25,8,14,4,2,Non-Veg
Egg Curry (2 eggs),220,14,6,14,4,1,Non-Veg
Aloo Gobi,180,3,25,8,1,4,Veg
Bhindi Masala,160,3,15,9,1,5,Veg
Curd Rice,290,7,35,12,6,0,Veg
Oats Upma,220,8,32,6,1,5,Veg
Poha with Peanuts,270,5,45,9,2,3,Veg
Besan Chilla (2 pcs),260,12,30,8,1,6,Veg
Grilled Chicken Breast,165,31,0,3.6,1,0,Non-Veg
Fish Curry (1 bowl),300,22,8,18,3,1,Non-Veg
Soya Chunks Masala,220,25,10,6,1,8,Veg
Rajma Chawal (1 serving),450,15,75,8,2,12,Veg
Chole (1 bowl),280,12,35,9,2,10,Veg
Brown Rice (1 bowl),216,5,45,1.8,0.4,3.5,Veg
Mixed Vegetable Sabji,150,3,12,9,2,4,Veg
Boiled Eggs (2 pcs),140,12,1,10,3,0,Non-Veg
Sprouts Salad,130,8,24,1,0,8,Veg
Khichdi,250,7,40,6,2,3,Veg
Idli (3 pcs),180,6,36,1,0,2,Veg
Dosa (Plain),170,4,28,4,1,1,Veg
Sandwich (Veg Grilled),280,8,40,9,3,4,Veg
Chicken Sandwich,320,22,35,8,2,3,Non-Veg
Palak Paneer,320,16,10,24,10,4,Veg
Green Moong Dal,210,14,34,3,0.5,10,Veg
Omelette (2 eggs),210,14,2,16,5,0,Non-Veg
Mutton Curry (Home Style),350,28,6,22,8,2,Non-Veg
